numOfCasesSinceDay1,newCases
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,2.0
0,0.0
1,0.0
2,1.0
3,2.0
4,0.0
5,12.0
6,2.0
7,13.0
8,11.0
9,0.0
10,23.0
11,32.0
12,22.0
13,25.0
14,52.0
15,86.0
16,200.0
17,72.0
18,63.0
19,179.0
20,293.0
21,293.0
22,250.0
23,564.0
24,248.0
25,237.0
26,342.0
27,1086.0
28,634.0
29,696.0
30,519.0
31,414.0
32,356.0
33,819.0
34,1580.0
35,1070.0
36,682.0
37,976.0
38,405.0
39,289.0
40,1071.0
41,946.0
42,553.0
43,1024.0
44,1008.0
45,428.0
46,636.0
47,868.0
48,578.0
49,831.0
50,983.0
51,538.0
52,552.0
53,264.0
54,762.0
55,625.0
56,911.0
57,704.0
58,973.0
59,822.0
60,301.0
61,781.0
62,487.0
63,979.0
64,533.0
65,584.0
66,531.0
67,835.0
68,610.0
69,412.0
70,445.0
71,462.0
72,490.0
73,272.0
74,179.0
75,543.0
76,635.0
77,695.0
78,833.0
79,787.0
80,551.0
81,790.0
82,825.0
83,1108.0
84,2293.0
85,677.0
86,590.0
87,477.0
88,747.0
89,810.0
90,505.0
91,617.0
92,976.0
93,761.0
94,595.0
95,562.0
96,868.0
97,649.0
98,693.0
99,1028.0
100,901.0
101,887.0
102,812.0
103,829.0
104,646.0
105,1027.0
106,984.0
107,1110.0
108,1587.0
109,894.0
110,1453.0
111,1666.0
112,1722.0
113,1831.0
114,1969.0
115,1799.0
116,2056.0
117,2840.0
118,1930.0
119,2881.0
120,3514.0
121,2564.0
122,2451.0
123,2160.0
124,2072.0
125,3383.0
126,2945.0
127,4249.0
128,3911.0
129,2456.0
130,2353.0
131,1676.0
132,5255.0
133,3874.0
134,3431.0
135,3911.0
136,4694.0
137,3248.0
138,2652.0
139,3200.0
140,3065.0
141,4596.0
142,4758.0
143,3779.0
144,2761.0
145,2886.0
146,4195.0
147,3309.0
148,3961.0
149,4068.0
150,3650.0
151,2932.0
152,1872.0
153,2976.0
154,3928.0
155,3191.0
156,4110.0
157,4423.0
158,3155.0
159,2438.0
160,3558.0
161,3514.0
162,2556.0
163,3240.0
164,3279.0
165,1861.0
166,1829.0
167,2803.0
168,2315.0
169,2755.0
170,2885.0
171,2583.0
172,1715.0
173,2284.0
174,2128.0
175,2248.0
176,2465.0
177,2296.0
178,2361.0
179,1239.0
180,1503.0
181,2214.0
182,1918.0
183,2679.0
184,2076.0
185,2183.0
186,1647.0
187,609.0
